                          MNLogit Regression Results                          
==============================================================================
Dep. Variable:                      y   No. Observations:                17045
Model:                        MNLogit   Df Residuals:                    16955
Method:                           MLE   Df Model:                           85
Date:                Fri, 04 Sep 2026   Pseudo R-squ.:                  0.1823
Time:                        14:52:07   Log-Likelihood:                -21121.
converged:                       True   LL-Null:                       -25830.
Covariance Type:            nonrobust   LLR p-value:                     0.000
==========================================================================================
                   y=1       coef    std err          z      P>|z|      [0.025      0.975]
subj_type_econ            -0.2437      0.191     -1.279      0.201      -0.617       0.130
subj_type_fed              0.2079      0.422      0.492      0.623      -0.620       1.036
subj_type_it_there_rel    -0.1811      0.196     -0.923      0.356      -0.565       0.203
subj_type_none             0.9237      0.366      2.521      0.012       0.206       1.642
subj_type_other            0.2941      0.188      1.568      0.117      -0.074       0.662
subj_type_person           0.3251      0.216      1.507      0.132      -0.098       0.748
subj_type_risks            3.8323      2.429      1.578      0.115      -0.927       8.592
subj_type_we_I            -0.7056      0.205     -3.444      0.001      -1.107      -0.304
layer_min_participants     0.8551      0.283      3.021      0.003       0.300       1.410
layer_min_special         -0.6852      0.279     -2.456      0.014      -1.232      -0.138
layer_min_staff           -1.8650      0.551     -3.387      0.001      -2.944      -0.786
layer_min_staff_desk      -1.0411      0.326     -3.195      0.001      -1.680      -0.403
layer_pc_chair            -2.5515      0.214    -11.919      0.000      -2.971      -2.132
layer_statement           -3.5630      0.276    -12.931      0.000      -4.103      -3.023
cond                       0.1466      0.103      1.417      0.156      -0.056       0.349
reported                   0.1775      0.090      1.973      0.049       0.001       0.354
------------------------------------------------------------------------------------------
                   y=5       coef    std err          z      P>|z|      [0.025      0.975]
------------------------------------------------------------------------------------------
const                     -2.4638      0.606     -4.063      0.000      -3.652      -1.275
period_late               -0.1932      0.082     -2.368      0.018      -0.353      -0.033
subj_type_econ             2.7359      0.563      4.858      0.000       1.632       3.840
subj_type_fed              0.6024      1.193      0.505      0.613      -1.735       2.940
subj_type_it_there_rel     3.2441      0.563      5.765      0.000       2.141       4.347
subj_type_none             3.0772      0.686      4.489      0.000       1.734       4.421
subj_type_other            2.9878      0.563      5.307      0.000       1.884       4.091
subj_type_person           2.6103      0.581      4.494      0.000       1.472       3.749
subj_type_risks            6.6297      2.488      2.665      0.008       1.754      11.506
subj_type_we_I             1.2955      0.577      2.246      0.025       0.165       2.426
layer_min_participants     1.7096      0.317      5.392      0.000       1.088       2.331
layer_min_special         -0.5419      0.343     -1.582      0.114      -1.213       0.130
layer_min_staff            1.1071      0.378      2.927      0.003       0.366       1.848
layer_min_staff_desk       0.1732      0.339      0.511      0.610      -0.491       0.838
layer_pc_chair            -2.1159      0.258     -8.206      0.000      -2.621      -1.611
layer_statement           -2.8469      0.320     -8.893      0.000      -3.474      -2.220
cond                       0.2909      0.101      2.894      0.004       0.094       0.488
reported                  -0.5321      0.097     -5.504      0.000      -0.722      -0.343
==========================================================================================
