canon,n_statements,first,last,example,modals,n_runs,n_meetings
the committee decided to keep the target range for the federal funds rate at # to # # percent and expects it will be appropriate to maintain this target range until labor market conditions have reached levels consistent with the committee s assessments of maximum employment and inflation has risen to # percent and is on track to moderately exceed # percent for some time,10,2020-09-16,2021-11-03,The Committee decided to keep the target range for the federal funds rate at 0 to 1/4 percent and expects it will be appropriate to maintain this target range until labor market conditions have reached levels consistent with the Committee's assessments of maximum employment and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time.,will,1,10
the committee will carefully monitor actual and expected inflation developments relative to its symmetric inflation goal,10,2017-03-15,2018-05-02,The Committee will carefully monitor actual and expected inflation developments relative to its symmetric inflation goal.,will,1,10
the committee expects that with appropriate policy accommodation economic activity will expand at a moderate pace with labor market indicators and inflation moving toward levels the committee judges consistent with its dual mandate,10,2014-07-30,2015-10-28,"The Committee expects that, with appropriate policy accommodation, economic activity will expand at a moderate pace, with labor market indicators and inflation moving toward levels the Committee judges consistent with its dual mandate.",will,2,10
the committee currently expects that with gradual adjustments in the stance of monetary policy economic activity will continue to expand at a moderate pace and labor market indicators will continue to strengthen,10,2015-12-16,2018-01-31,"The Committee currently expects that, with gradual adjustments in the stance of monetary policy, economic activity will continue to expand at a moderate pace and labor market indicators will continue to strengthen.",will,2,10
with inflation running persistently below this longer run goal the committee will aim to achieve inflation moderately above # percent for some time so that inflation averages # percent over time and longer term inflation expectations remain well anchored at # percent,10,2020-09-16,2021-11-03,"With inflation running persistently below this longer-run goal, the Committee will aim to achieve inflation moderately above 2 percent for some time so that inflation averages 2 percent over time and longer-term inflation expectations remain well anchored at 2 percent.",will,1,10
in light of the current shortfall of inflation from # percent the committee will carefully monitor actual and expected progress toward its inflation goal,10,2015-12-16,2017-02-01,"In light of the current shortfall of inflation from 2 percent, the Committee will carefully monitor actual and expected progress toward its inflation goal.",will,1,10
in considering the extent and timing of additional adjustments to the target range for the federal funds rate the committee will carefully assess incoming data the evolving outlook and the balance of risks,10,2024-12-18,2026-04-29,"In considering the extent and timing of additional adjustments to the target range for the federal funds rate, the Committee will carefully assess incoming data, the evolving outlook, and the balance of risks.",will,2,10
in considering any adjustments to the target range for the federal funds rate the committee will carefully assess incoming data the evolving outlook and the balance of risks,9,2024-01-31,2025-10-29,"In considering any adjustments to the target range for the federal funds rate, the Committee will carefully assess incoming data, the evolving outlook, and the balance of risks.",will,2,9
the committee will continue reducing its holdings of treasury securities and agency debt and agency mortgage backed securities,9,2024-09-18,2025-09-17,The Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage‑backed securities.,will,1,9
the committee will closely monitor incoming information on economic and financial developments in coming months and will continue its purchases of treasury and agency mortgage backed securities and employ its other policy tools as appropriate until the outlook for the labor market has improved substantially in a context of price stability,6,2014-01-29,2014-09-17,"The Committee will closely monitor incoming information on economic and financial developments in coming months and will continue its purchases of Treasury and agency mortgage-backed securities, and employ its other policy tools as appropriate, until the outlook for the labor market has improved substantially in a context of price stability.",will,1,6
the committee s sizable and still increasing holdings of longer term securities should maintain downward pressure on longer term interest rates support mortgage markets and help to make broader financial conditions more accommodative which in turn should promote a stronger economic recovery and help to ensure that inflation over time is at the rate most consistent with the committee s dual mandate,6,2014-01-29,2014-09-17,"The Committee's sizable and still-increasing holdings of longer-term securities should maintain downward pressure on longer-term interest rates, support mortgage markets, and help to make broader financial conditions more accommodative, which in turn should promote a stronger economic recovery and help to ensure that inflation, over time, is at the rate most consistent with the Committee's dual mandate.",should,1,6
the ongoing public health crisis will weigh heavily on economic activity employment and inflation in the near term and poses considerable risks to the economic outlook over the medium term,6,2020-04-29,2020-12-16,"The ongoing public health crisis will weigh heavily on economic activity, employment, and inflation in the near term, and poses considerable risks to the economic outlook over the medium term.",will,1,6
however asset purchases are not on a preset course and the committee s decisions about their pace will remain contingent on the committee s outlook for the labor market and inflation as well as its assessment of the likely efficacy and costs of such purchases,6,2014-01-29,2014-09-17,"However, asset purchases are not on a preset course, and the Committee's decisions about their pace will remain contingent on the Committee's outlook for the labor market and inflation as well as its assessment of the likely efficacy and costs of such purchases.",will,1,6
the committee anticipates that it will be appropriate to raise the target range for the federal funds rate when it has seen further improvement in the labor market and is reasonably confident that inflation will move back to its # percent objective over the medium term,6,2015-03-18,2015-10-28,The Committee anticipates that it will be appropriate to raise the target range for the federal funds rate when it has seen further improvement in the labor market and is reasonably confident that inflation will move back to its 2 percent objective over the medium term.,will,1,6
in determining the extent of additional policy firming that may be appropriate to return inflation to # percent over time the committee will take into account the cumulative tightening of monetary policy the lags with which monetary policy affects economic activity and inflation and economic and financial developments,5,2023-06-14,2023-12-13,"In determining the extent of additional policy firming that may be appropriate to return inflation to 2 percent over time, the Committee will take into account the cumulative tightening of monetary policy, the lags with which monetary policy affects economic activity and inflation, and economic and financial developments.","may,will",1,5
the committee continues to anticipate based on its assessment of these factors that it likely will be appropriate to maintain the current target range for the federal funds rate for a considerable time after the asset purchase program ends especially if projected inflation continues to run below the committee s # percent longer run goal and provided that longer term inflation expectations remain well anchored,5,2014-03-19,2014-09-17,"The Committee continues to anticipate, based on its assessment of these factors, that it likely will be appropriate to maintain the current target range for the federal funds rate for a considerable time after the asset purchase program ends, especially if projected inflation continues to run below the Committee's 2 percent longer-run goal, and provided that longer-term inflation expectations remain well anchored.",will,1,5
in support of these goals the committee decided to raise the target range for the federal funds rate to # # to # # percent and anticipates that ongoing increases in the target range will be appropriate,5,2022-03-16,2022-09-21,"In support of these goals, the Committee decided to raise the target range for the federal funds rate to 1/4 to 1/2 percent and anticipates that ongoing increases in the target range will be appropriate.",will,1,5
the committee does not expect it will be appropriate to reduce the target range until it has gained greater confidence that inflation is moving sustainably toward # percent,5,2024-01-31,2024-07-31,The Committee does not expect it will be appropriate to reduce the target range until it has gained greater confidence that inflation is moving sustainably toward 2 percent.,will,1,5
the path of the economy will depend significantly on the course of the virus,5,2020-07-29,2021-06-16,The path of the economy will depend significantly on the course of the virus.,will,2,5
in addition the federal reserve will continue to increase its holdings of treasury securities by at least # billion per month and of agency mortgage backed securities by at least # billion per month until substantial further progress has been made toward the committee s maximum employment and price stability goals,5,2020-12-16,2021-06-16,"In addition, the Federal Reserve will continue to increase its holdings of Treasury securities by at least $80 billion per month and of agency mortgage-backed securities by at least $40 billion per month until substantial further progress has been made toward the Committee's maximum employment and price stability goals.",will,1,5
in addition the committee will continue reducing its holdings of treasury securities and agency debt and agency mortgage backed securities as described in the plans for reducing the size of the federal reserve s balance sheet that were issued in may,5,2022-06-15,2022-12-14,"In addition, the Committee will continue reducing its holdings of Treasury securities and agency debt and agency mortgage-backed securities, as described in the Plans for Reducing the Size of the Federal Reserve's Balance Sheet that were issued in May.",will,1,5
if incoming information broadly supports the committee s expectation of ongoing improvement in labor market conditions and inflation moving back toward its longer run objective the committee will likely reduce the pace of asset purchases in further measured steps at future meetings,5,2014-01-29,2014-07-30,"If incoming information broadly supports the Committee's expectation of ongoing improvement in labor market conditions and inflation moving back toward its longer-run objective, the Committee will likely reduce the pace of asset purchases in further measured steps at future meetings.",will,1,5
the committee continues to expect that with gradual adjustments in the stance of monetary policy economic activity will expand at a moderate pace and labor market conditions will strengthen somewhat further,5,2017-06-14,2017-12-13,"The Committee continues to expect that, with gradual adjustments in the stance of monetary policy, economic activity will expand at a moderate pace, and labor market conditions will strengthen somewhat further.",will,1,5
