                          MNLogit Regression Results                          
==============================================================================
Dep. Variable:                      y   No. Observations:                19478
Model:                        MNLogit   Df Residuals:                    19388
Method:                           MLE   Df Model:                           85
Date:                Fri, 04 Sep 2026   Pseudo R-squ.:                  0.1524
Time:                        14:52:54   Log-Likelihood:                -25748.
converged:                       True   LL-Null:                       -30379.
Covariance Type:            nonrobust   LLR p-value:                     0.000
==========================================================================================
                   y=1       coef    std err          z      P>|z|      [0.025      0.975]
subj_type_other            2.5905      0.464      5.580      0.000       1.681       3.500
subj_type_person           2.2422      0.478      4.693      0.000       1.306       3.179
subj_type_risks            6.4709      2.667      2.426      0.015       1.243      11.699
subj_type_we_I             0.6147      0.477      1.288      0.198      -0.321       1.550
layer_min_participants     1.7228      0.316      5.446      0.000       1.103       2.343
layer_min_special         -0.5433      0.342     -1.587      0.112      -1.214       0.128
layer_min_staff            1.1318      0.378      2.995      0.003       0.391       1.872
layer_min_staff_desk       0.1807      0.338      0.534      0.593      -0.483       0.844
layer_pc_chair            -1.9620      0.256     -7.671      0.000      -2.463      -1.461
layer_speech_chair        -1.2495      0.258     -4.841      0.000      -1.755      -0.744
cond                       0.1640      0.085      1.937      0.053      -0.002       0.330
reported                  -0.4904      0.087     -5.611      0.000      -0.662      -0.319
==========================================================================================
